Pennycress_Protein,PennycressGeneID,Domain1,Domain2,GO Terms,ArabidopsisGeneID,Arabidopsis_Protein_Name,Entrez_geneID
CAH2047204.1,TAV2_LOCUS7539,THIONIN-LIKE PROTEIN 1,Thionin-like protein,-,AT1G12665,"thionin-like	protein	","5007689	"
CAH2047202.1,TAV2_LOCUS6626,THIONIN-LIKE PROTEIN 1,Thionin-like protein,-,AT1G12665,"thionin-like	protein	","5007689	"
CAH2078050.1,TAV2_LOCUS24754,Proton-conducting membrane transporter,"NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit",-,ATCG00890,#N/A,#N/A
CAH2052008.1,TAV2_LOCUS9670,NAD(P)H-quinone oxidoreductase subunit 2 N-terminal,"NAD(P)H-quinone oxidoreductase subunit 2, N-terminal",-,ATCG00890,#N/A,#N/A
CAH2052149.1,TAV2_LOCUS8768,NAD(P)H-quinone oxidoreductase subunit 2 N-terminal,"NAD(P)H-quinone oxidoreductase subunit 2, N-terminal",-,ATCG00890,#N/A,#N/A
CAH2047401.1,TAV2_LOCUS5479,Proton-conducting membrane transporter,"NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit",-,ATCG00890,#N/A,#N/A
CAH2047505.1,TAV2_LOCUS7941,#N/A,#N/A,#N/A,AT1G59990,"DEA(D/H)-box	RNA	helicase	family	protein	","842293	"
CAH2047592.1,TAV2_LOCUS6456,#N/A,#N/A,#N/A,AT1G59990,"DEA(D/H)-box	RNA	helicase	family	protein	","842293	"
CAH2047584.1,TAV2_LOCUS5281,XANTHINE DEHYDROGENASE,Aldehyde oxidase/xanthine dehydrogenase,GO:0005506|GO:0016491,AT1G59990,"DEA(D/H)-box	RNA	helicase	family	protein	","842293	"
CAH2047590.1,TAV2_LOCUS5284,helicmild6,"Helicase, C-terminal",-,AT1G59990,"DEA(D/H)-box	RNA	helicase	family	protein	","842293	"
CAH2047510.1,TAV2_LOCUS7935,DEAD/DEAH box helicase,DEAD/DEAH box helicase domain,GO:0003676|GO:0005524,AT1G59990,"DEA(D/H)-box	RNA	helicase	family	protein	","842293	"
CAH2047721.1,TAV2_LOCUS7379,WRKY DNA-binding domain,WRKY domain superfamily,GO:0003700|GO:0006355|GO:0043565,AT1G80590,"WRKY	DNA-binding	protein	66	","844398	"
CAH2067966.1,TAV2_LOCUS15693,WRKY_cls,WRKY domain,GO:0003700|GO:0006355|GO:0043565,AT1G80590,"WRKY	DNA-binding	protein	66	","844398	"
CAH2047757.1,TAV2_LOCUS6573,C1 domain,DC1,-,AT2G21850,"Cysteine/Histidine-rich	C1	domain	family	protein	","816721	"
CAH2047761.1,TAV2_LOCUS7180,C1 domain,DC1,-,AT2G21850,"Cysteine/Histidine-rich	C1	domain	family	protein	","816721	"
CAH2047832.1,TAV2_LOCUS6717,Plant self-incompatibility response (SCRL) protein,Plant self-incompatibility response,GO:0007165,AT1G60986,"SCR-like	4	","3767592	"
CAH2047833.1,TAV2_LOCUS6708,Plant self-incompatibility response (SCRL) protein,Plant self-incompatibility response,GO:0007165,AT1G60986,"SCR-like	4	","3767592	"
CAH2047834.1,TAV2_LOCUS6709,DEFENSIN-LIKE PROTEIN 245-RELATED,Plant self-incompatibility response,GO:0007165,AT1G60986,"SCR-like	4	","3767592	"
CAH2053091.1,TAV2_LOCUS9531,MATE_eukaryotic,"Multidrug and toxic compound extrusion family, eukaryotic",GO:0042910|GO:1990961,AT3G21690,"MATE	efflux	family	protein	","821723	"
CAH2047938.1,TAV2_LOCUS7331,MATE_eukaryotic,"Multidrug and toxic compound extrusion family, eukaryotic",GO:0042910|GO:1990961,AT3G21690,"MATE	efflux	family	protein	","821723	"
CAH2053090.1,TAV2_LOCUS9530,MATE_eukaryotic,"Multidrug and toxic compound extrusion family, eukaryotic",GO:0042910|GO:1990961,AT3G21690,"MATE	efflux	family	protein	","821723	"
CAH2053092.1,TAV2_LOCUS9532,MATE_eukaryotic,"Multidrug and toxic compound extrusion family, eukaryotic",GO:0042910|GO:1990961,AT3G21690,"MATE	efflux	family	protein	","821723	"
CAH2053093.1,TAV2_LOCUS9820,MATE_eukaryotic,"Multidrug and toxic compound extrusion family, eukaryotic",GO:0042910|GO:1990961,AT3G21690,"MATE	efflux	family	protein	","821723	"
CAH2047945.1,TAV2_LOCUS7325,C1 domain,DC1,-,AT2G40050,"Cysteine/Histidine-rich	C1	domain	family	protein	","818593	"
CAH2047992.1,TAV2_LOCUS6937,consensus disorder prediction,-,0,AT1G62225,"uncharacterized	protein	","842519	"
CAH2078206.1,TAV2_LOCUS24197,Major Facilitator Superfamily,Major facilitator superfamily,GO:0022857|GO:0055085,AT4G22990,"Major	Facilitator	Superfamily	with	SPX	(SYG1/Pho81/XPR1)	domain-containing	protein	","828398	"
CAH2071310.1,TAV2_LOCUS21579,Major Facilitator Superfamily,Major facilitator superfamily,GO:0022857|GO:0055085,AT4G11810,"Major	Facilitator	Superfamily	with	SPX	(SYG1/Pho81/XPR1)	domain-containing	protein	","826787	"
CAH2048095.1,TAV2_LOCUS6633,Major Facilitator Superfamily,Major facilitator superfamily,GO:0022857|GO:0055085,AT1G63010,"Major	Facilitator	Superfamily	with	SPX	(SYG1/Pho81/XPR1)	domain-containing	protein	","842604	"
CAH2048118.1,TAV2_LOCUS5904,Cystatin/monellin,Cystatin superfamily,-,AT1G63205,"Cystatin/monellin	superfamily	protein	","842625	"
CAH2080166.1,TAV2_LOCUS25722,EXOSTOSIN  HEPARAN SULFATE GLYCOSYLTRANSFERASE -RELATED,Exostosin-like,GO:0006486|GO:0016757,AT5G41250,"Exostosin	family	protein	","834126	"
CAH2080165.1,TAV2_LOCUS25721,EXOSTOSIN  HEPARAN SULFATE GLYCOSYLTRANSFERASE -RELATED,Exostosin-like,GO:0006486|GO:0016757,AT1G63450,"root	hair	specific	8	","842651	"
CAH2048152.1,TAV2_LOCUS7111,EXOSTOSIN  HEPARAN SULFATE GLYCOSYLTRANSFERASE -RELATED,Exostosin-like,GO:0006486|GO:0016757,AT1G63450,"root	hair	specific	8	","842651	"
CAH2048147.1,TAV2_LOCUS7113,EXOSTOSIN  HEPARAN SULFATE GLYCOSYLTRANSFERASE -RELATED,Exostosin-like,GO:0006486|GO:0016757,AT1G63450,"root	hair	specific	8	","842651	"
CAH2048159.1,TAV2_LOCUS7110,TPR-like,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT1G63500,"kinase	with	tetratricopeptide	repeat	domain-containing	protein	","842656	"
CAH2080168.1,TAV2_LOCUS25724,RNAse P Rpr2/Rpp21/SNM1 subunit domain,"Ribonuclease P subunit, Rpr2/Snm1/Rpp21",GO:0006396,AT4G00710,"BR-signaling	kinase	3	","828025	"
CAH2080182.1,TAV2_LOCUS23410,consensus disorder prediction,-,0,AT5G41390,"PLAC8	family	protein	","834141	"
CAH2048226.1,TAV2_LOCUS6690,consensus disorder prediction,-,0,AT1G63830,"PLAC8	family	protein	","842686	"
CAH2078177.1,TAV2_LOCUS25002,PLAC8 FAMILY PROTEIN,-,0,AT4G23470,"PLAC8	family	protein	","828446	"
CAH2071069.1,TAV2_LOCUS18742,LC-FACS_euk,"Long-chain fatty acid CoA synthetase, eukaryotic",GO:0004467|GO:0006631,AT4G11030,"AMP-dependent	synthetase	and	ligase	family	protein	","826704	"
CAH2078132.1,TAV2_LOCUS23550,LC-FACS_euk,"Long-chain fatty acid CoA synthetase, eukaryotic",GO:0004467|GO:0006631,AT4G23850,"AMP-dependent	synthetase	and	ligase	family	protein	","828484	"
CAH2048349.1,TAV2_LOCUS7090,LC-FACS_euk,"Long-chain fatty acid CoA synthetase, eukaryotic",GO:0004467|GO:0006631,AT1G64400,"AMP-dependent	synthetase	and	ligase	family	protein	","842748	"
CAH2070188.1,TAV2_LOCUS22106,ATPase family associated with various cellular activities (AAA),"ATPase, AAA-type, core",GO:0005524|GO:0016887,AT5G52882,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","5008305	"
CAH2070191.1,TAV2_LOCUS19664,ATPase family associated with various cellular activities (AAA),"ATPase, AAA-type, core",GO:0005524|GO:0016887,AT5G52882,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","5008305	"
CAH2049307.1,TAV2_LOCUS8248,ATPase family associated with various cellular activities (AAA),"ATPase, AAA-type, core",GO:0005524|GO:0016887,AT4G28000,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","828913	"
CAH2077727.1,TAV2_LOCUS24159,ATPase family associated with various cellular activities (AAA),"ATPase, AAA-type, core",GO:0005524|GO:0016887,AT4G28000,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","828913	"
CAH2070630.1,TAV2_LOCUS20254,Phosphate-induced protein 1 conserved region,Protein EXORDIUM-like,-,AT4G08950,"Phosphate-responsive	1	family	protein	","826473	"
CAH2049397.1,TAV2_LOCUS8284,PROTEIN EXORDIUM-LIKE 5,Protein EXORDIUM-like,-,AT1G35140,"Phosphate-responsive	1	family	protein	","840399	"
CAH2049676.1,TAV2_LOCUS8333,UPF0613 PROTEIN PB24D3.06C,Fusarinine C esterase SidJ,-,AT5G19050,"alpha/beta-Hydrolases	superfamily	protein	","832024	"
CAH2049674.1,TAV2_LOCUS8325,consensus disorder prediction,-,0,AT5G19050,"alpha/beta-Hydrolases	superfamily	protein	","832024	"
CAH2049675.1,TAV2_LOCUS8332,alpha/beta hydrolase,Alpha/Beta hydrolase fold,-,AT5G19050,"alpha/beta-Hydrolases	superfamily	protein	","832024	"
CAH2049677.1,TAV2_LOCUS8330,Protein of unknown function (DUF1749),Fusarinine C esterase SidJ,-,AT5G19050,"alpha/beta-Hydrolases	superfamily	protein	","832024	"
CAH2072394.1,TAV2_LOCUS18736,Protein of unknown function (DUF1749),Fusarinine C esterase SidJ,-,AT5G19050,"alpha/beta-Hydrolases	superfamily	protein	","832024	"
CAH2072391.1,TAV2_LOCUS18737,MAHOGUNIN,E3 ubiquitin-protein ligase MGRN1/RNF157-like,GO:0061630,AT3G06140,"RING/U-box	superfamily	protein	","819787	"
CAH2049681.1,TAV2_LOCUS8326,MAHOGUNIN,E3 ubiquitin-protein ligase MGRN1/RNF157-like,GO:0061630,AT3G06140,"RING/U-box	superfamily	protein	","819787	"
CAH2049680.1,TAV2_LOCUS8329,MAHOGUNIN,E3 ubiquitin-protein ligase MGRN1/RNF157-like,GO:0061630,AT3G06140,"RING/U-box	superfamily	protein	","819787	"
CAH2054315.1,TAV2_LOCUS11140,MAHOGUNIN,E3 ubiquitin-protein ligase MGRN1/RNF157-like,GO:0061630,AT3G06140,"RING/U-box	superfamily	protein	","819787	"
CAH2054872.1,TAV2_LOCUS9334,MAHOGUNIN,E3 ubiquitin-protein ligase MGRN1/RNF157-like,GO:0061630,AT3G06140,"RING/U-box	superfamily	protein	","819787	"
CAH2080545.1,TAV2_LOCUS26251,Protein kinase domain,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT4G28860,"casein	kinase	I-like	4	","829007	"
CAH2049714.1,TAV2_LOCUS8365,serkin_6,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT4G28860,"casein	kinase	I-like	4	","829007	"
CAH2080544.1,TAV2_LOCUS26252,Protein kinase-like (PK-like),Protein kinase-like domain superfamily,-,AT4G28860,"casein	kinase	I-like	4	","829007	"
CAH2077640.1,TAV2_LOCUS25451,Protein kinase domain,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT4G28880,"casein	kinase	I-like	3	","829009	"
CAH2079029.1,TAV2_LOCUS24545,1-deoxy-D-xylulose-5-phosphate synthase,Deoxyxylulose-5-phosphate synthase,GO:0008661|GO:0016114,AT3G21500,"1-deoxy-D-xylulose	5-phosphate	synthase	1	","821704	"
CAH2049716.1,TAV2_LOCUS8366,1-D-DEOXYXYLULOSE 5-PHOSPHATE SYNTHASE-RELATED,Deoxyxylulose-5-phosphate synthase,GO:0008661|GO:0016114,AT3G21500,"1-deoxy-D-xylulose	5-phosphate	synthase	1	","821704	"
CAH2049715.1,TAV2_LOCUS8367,1-D-DEOXYXYLULOSE 5-PHOSPHATE SYNTHASE-RELATED,Deoxyxylulose-5-phosphate synthase,GO:0008661|GO:0016114,AT3G21500,"1-deoxy-D-xylulose	5-phosphate	synthase	1	","821704	"
CAH2053112.1,TAV2_LOCUS11119,TPP_DXS,Deoxyxylulose-5-phosphate synthase,GO:0008661|GO:0016114,AT3G21500,"1-deoxy-D-xylulose	5-phosphate	synthase	1	","821704	"
CAH2053005.1,TAV2_LOCUS10943,Protein tyrosine and serine/threonine kinase,"Serine-threonine/tyrosine-protein kinase, catalytic domain",GO:0004672|GO:0006468,AT3G22750,"Protein	kinase	superfamily	protein	","821846	"
CAH2079132.1,TAV2_LOCUS23268,Tyrosine kinase catalytic domain signature,"Serine-threonine/tyrosine-protein kinase, catalytic domain",GO:0004672|GO:0006468,AT4G14780,"Protein	kinase	superfamily	protein	","827133	"
CAH2056949.1,TAV2_LOCUS12072,Protein tyrosine and serine/threonine kinase,"Serine-threonine/tyrosine-protein kinase, catalytic domain",GO:0004672|GO:0006468,AT4G14780,"Protein	kinase	superfamily	protein	","827133	"
CAH2049735.1,TAV2_LOCUS8386,Protein kinase-like (PK-like),Protein kinase-like domain superfamily,-,AT4G14780,"Protein	kinase	superfamily	protein	","827133	"
CAH2054722.1,TAV2_LOCUS9620,GT1_Gtf-like,UDP-glucuronosyl/UDP-glucosyltransferase,GO:0008194,AT3G07020,"UDP-Glycosyltransferase	superfamily	protein	","819887	"
CAH2049745.1,TAV2_LOCUS8396,GT1_Gtf-like,UDP-glucuronosyl/UDP-glucosyltransferase,GO:0008194,AT3G07020,"UDP-Glycosyltransferase	superfamily	protein	","819887	"
CAH2049746.1,TAV2_LOCUS8397,BNAA05G30520D PROTEIN,-,0,AT3G07020,"UDP-Glycosyltransferase	superfamily	protein	","819887	"
CAH2053396.1,TAV2_LOCUS10256,Glycosyltransferase family 28 N-terminal domain,"Glycosyltransferase family 28, N-terminal domain",GO:0005975|GO:0016758|GO:0030259,AT3G07020,"UDP-Glycosyltransferase	superfamily	protein	","819887	"
CAH2049747.1,TAV2_LOCUS8395,Glycogen Phosphorylase B;,-,0,AT3G07020,"UDP-Glycosyltransferase	superfamily	protein	","819887	"
CAH2058805.1,TAV2_LOCUS13014,Eukaryotic type KH-domain (KH-domain type I),"K Homology domain, type 1 superfamily",GO:0003723,AT2G38610,"RNA-binding	KH	domain-containing	protein	","818443	"
CAH2054502.1,TAV2_LOCUS9309,KH domain,"K Homology domain, type 1",GO:0003723,AT3G08620,"RNA-binding	KH	domain-containing	protein	","820009	"
CAH2049793.1,TAV2_LOCUS8434,"K Homology domain, type 1","K Homology domain, type 1 superfamily",GO:0003723,AT1G09660,"RNA-binding	KH	domain-containing	protein	","837494	"
CAH2067489.1,TAV2_LOCUS16114,GDSL-like Lipase/Acylhydrolase,GDSL lipase/esterase,GO:0016788,AT1G75880,"SGNH	hydrolase-type	esterase	superfamily	protein	","843921	"
CAH2050334.1,TAV2_LOCUS8532,GDSL-like Lipase/Acylhydrolase,GDSL lipase/esterase,GO:0016788,AT1G20130,"GDSL-like	Lipase/Acylhydrolase	superfamily	protein	","838602	"
CAH2067491.1,TAV2_LOCUS16117,GDSL-like Lipase/Acylhydrolase,GDSL lipase/esterase,GO:0016788,AT1G75890,"GDSL-like	Lipase/Acylhydrolase	superfamily	protein	","843922	"
CAH2079531.1,TAV2_LOCUS24121,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G36140,"cytochrome	""P450,""	family	""716,""	subfamily	""A,""	polypeptide	2	","833611	"
CAH2050352.1,TAV2_LOCUS8540,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G36130,"Cytochrome	P450	superfamily	protein	","833610	"
CAH2077389.1,TAV2_LOCUS24603,aspS_nondisc: aspartate--tRNA(Asn) ligase,"Aspartate-tRNA synthetase, type 2",GO:0000166|GO:0004815|GO:0005524|GO:0005737|GO:0006422,AT4G26870,"Class	II	aminoacyl-tRNA	and	biotin	synthetases	superfamily	protein	","828794	"
CAH2050358.1,TAV2_LOCUS8539,ASPARTYL-TRNA SYNTHETASE,"Aspartate-tRNA synthetase, type 2",GO:0000166|GO:0004815|GO:0005524|GO:0005737|GO:0006422,AT4G26870,"Class	II	aminoacyl-tRNA	and	biotin	synthetases	superfamily	protein	","828794	"
CAH2051166.1,TAV2_LOCUS9439,ASPARTYL-TRNA SYNTHETASE,"Aspartate-tRNA synthetase, type 2",GO:0000166|GO:0004815|GO:0005524|GO:0005737|GO:0006422,AT4G31180,"Class	II	aminoacyl-tRNA	and	biotin	synthetases	superfamily	protein	","829246	"
CAH2050360.1,TAV2_LOCUS8536,OB-fold nucleic acid binding domain,"OB-fold nucleic acid binding domain, AA-tRNA synthetase-type",GO:0003676,AT4G31180,"Class	II	aminoacyl-tRNA	and	biotin	synthetases	superfamily	protein	","829246	"
CAH2058881.1,TAV2_LOCUS13819,AKR,Aldo-keto reductase,GO:0016491,AT2G37770,"NAD(P)-linked	oxidoreductase	superfamily	protein	","818354	"
CAH2058883.1,TAV2_LOCUS12997,AKR_AKR4C1-15,Aldo-keto reductase family 4C,GO:0016491,AT2G37770,"NAD(P)-linked	oxidoreductase	superfamily	protein	","818354	"
CAH2050447.1,TAV2_LOCUS8548,#N/A,#N/A,#N/A,AT2G37790,"NAD(P)-linked	oxidoreductase	superfamily	protein	","818356	"
CAH2058879.1,TAV2_LOCUS14753,AKR,Aldo-keto reductase,GO:0016491,AT2G37790,"NAD(P)-linked	oxidoreductase	superfamily	protein	","818356	"
CAH2070814.1,TAV2_LOCUS18748,-,Six-hairpin glycosidase-like superfamily,GO:0005975,AT5G49720,"glycosyl	hydrolase	9A1	","835035	"
CAH2051153.1,TAV2_LOCUS10607,-,Six-hairpin glycosidase-like superfamily,GO:0005975,AT4G24260,"glycosyl	hydrolase	9A3	","828527	"
CAH2078068.1,TAV2_LOCUS24215,Six-hairpin glycosidases,Six-hairpin glycosidase superfamily,GO:0005975,AT4G24260,"glycosyl	hydrolase	9A3	","828527	"
CAH2078092.1,TAV2_LOCUS22977,-,Six-hairpin glycosidase-like superfamily,GO:0005975,AT4G24260,"glycosyl	hydrolase	9A3	","828527	"
CAH2051206.1,TAV2_LOCUS10893,Plant profilin signature,Profilin,GO:0003779,AT2G19760,"profilin	1	","816495	"
CAH2077594.1,TAV2_LOCUS24962,Plant profilin signature,Profilin,GO:0003779,AT4G29350,"profilin	2	","829056	"
CAH2077595.1,TAV2_LOCUS23061,prof_2,Profilin,GO:0003779,AT4G29350,"profilin	2	","829056	"
CAH2069722.1,TAV2_LOCUS18547,Plant profilin signature,Profilin,GO:0003779,AT4G29350,"profilin	2	","829056	"
CAH2051210.1,TAV2_LOCUS9786,60S RIBOSOMAL PROTEIN L28,Ribosomal protein L28e,GO:0003735|GO:0005840|GO:0006412,AT2G19730,"Ribosomal	L28e	protein	family	","816492	"
CAH2077589.1,TAV2_LOCUS24960,60S RIBOSOMAL PROTEIN L28,Ribosomal protein L28e,GO:0003735|GO:0005840|GO:0006412,AT4G29410,"Ribosomal	L28e	protein	family	","829062	"
CAH2075778.1,TAV2_LOCUS22471,60S RIBOSOMAL PROTEIN L28,Ribosomal protein L28e,GO:0003735|GO:0005840|GO:0006412,AT4G29410,"Ribosomal	L28e	protein	family	","829062	"
CAH2075779.1,TAV2_LOCUS22472,60S RIBOSOMAL PROTEIN L28,Ribosomal protein L28e,GO:0003735|GO:0005840|GO:0006412,AT4G29410,"Ribosomal	L28e	protein	family	","829062	"
CAH2051261.1,TAV2_LOCUS9896,Ribosomal protein L14,Ribosomal protein L14e domain,GO:0003735|GO:0005840|GO:0006412,AT2G20450,"Ribosomal	protein	L14	","816564	"
CAH2051245.1,TAV2_LOCUS9312,-,"Ribosomal protein L2, domain 2",-,AT2G20450,"Ribosomal	protein	L14	","816564	"
CAH2080475.1,TAV2_LOCUS26181,Ribosomal protein L14,Ribosomal protein L14e domain,GO:0003735|GO:0005840|GO:0006412,AT2G20450,"Ribosomal	protein	L14	","816564	"
CAH2077814.1,TAV2_LOCUS25163,Ribosomal protein L14,Ribosomal protein L14e domain,GO:0003735|GO:0005840|GO:0006412,AT4G27090,"Ribosomal	protein	L14	","828817	"
CAH2051268.1,TAV2_LOCUS11035,Subtilase family,Peptidase S8/S53 domain,GO:0006508|GO:0008236,AT2G19170,"subtilisin-like	serine	protease	3	","816434	"
CAH2077505.1,TAV2_LOCUS25201,Subtilase family,Peptidase S8/S53 domain,GO:0006508|GO:0008236,AT4G30020,"PA-domain	containing	subtilase	family	protein	","829125	"
CAH2078136.1,TAV2_LOCUS23553,Peptidase inhibitor I9,Peptidase S8 propeptide/proteinase inhibitor I9,-,AT4G30020,"PA-domain	containing	subtilase	family	protein	","829125	"
CAH2077531.1,TAV2_LOCUS24789,Subtilase family,Peptidase S8/S53 domain,GO:0006508|GO:0008236,AT4G30020,"PA-domain	containing	subtilase	family	protein	","829125	"
CAH2051273.1,TAV2_LOCUS11031,"HMA, heavy metal-associated domain",Heavy metal-associated domain superfamily,GO:0046872,AT2G19110,"heavy	metal	atpase	4	","816428	"
CAH2077511.1,TAV2_LOCUS23882,"HMA, heavy metal-associated domain",Heavy metal-associated domain superfamily,GO:0046872,AT4G30110,"heavy	metal	atpase	2	","829134	"
CAH2077510.1,TAV2_LOCUS25198,"HMA, heavy metal-associated domain",Heavy metal-associated domain superfamily,GO:0046872,AT4G30120,"heavy	metal	atpase	3	","829135	"
CAH2051297.1,TAV2_LOCUS11538,SR_beta,"Signal recognition particle receptor, beta subunit",-,AT2G18770,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","816392	"
CAH2080524.1,TAV2_LOCUS26240,P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN,"Signal recognition particle receptor, beta subunit",-,AT5G05670,"signal	recognition	particle	binding	protein	","830451	"
CAH2080525.1,TAV2_LOCUS26239,Signal recognition particle receptor beta subunit,"Signal recognition particle receptor, beta subunit",-,AT5G05670,"signal	recognition	particle	binding	protein	","830451	"
CAH2073980.1,TAV2_LOCUS18957,SR_beta,"Signal recognition particle receptor, beta subunit",-,AT5G05670,"signal	recognition	particle	binding	protein	","830451	"
CAH2051326.1,TAV2_LOCUS10402,#N/A,#N/A,#N/A,AT4G26030,"C2H2-like	zinc	finger	protein	","828709	"
CAH2051352.1,TAV2_LOCUS10100,ATPase family associated with various cellular activities (AAA),"ATPase, AAA-type, core",GO:0005524|GO:0016887,AT2G18193,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","816333	"
CAH2051353.1,TAV2_LOCUS10103,consensus disorder prediction,-,0,AT2G18193,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","816333	"
CAH2051356.1,TAV2_LOCUS10108,ATPase family associated with various cellular activities (AAA),"ATPase, AAA-type, core",GO:0005524|GO:0016887,AT2G18193,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","816333	"
CAH2051354.1,TAV2_LOCUS10102,ATPase family associated with various cellular activities (AAA),"ATPase, AAA-type, core",GO:0005524|GO:0016887,AT2G18193,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","816333	"
CAH2064411.1,TAV2_LOCUS16199,RIBOSOMAL PROTEIN L2,Ribosomal protein L2,GO:0003735|GO:0005840|GO:0006412,AT3G51190,"Ribosomal	protein	L2	family	","824282	"
CAH2076520.1,TAV2_LOCUS23196,Ribosomal_L2_C_2,"Ribosomal protein L2, C-terminal",GO:0003735|GO:0005840|GO:0006412,AT4G36130,"Ribosomal	protein	L2	family	","829770	"
CAH2051370.1,TAV2_LOCUS10897,Ribosomal_L2_C_2,"Ribosomal protein L2, C-terminal",GO:0003735|GO:0005840|GO:0006412,AT2G18020,"Ribosomal	protein	L2	family	","816314	"
CAH2051476.1,TAV2_LOCUS10660,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT1G34540,"cytochrome	""P450,""	family	""94,""	subfamily	""D,""	polypeptide	1	","840356	"
CAH2072730.1,TAV2_LOCUS20669,UDP-glucoronosyl and UDP-glucosyl transferase,UDP-glucuronosyl/UDP-glucosyltransferase,GO:0008194,AT5G14860,"UDP-Glycosyltransferase	superfamily	protein	","831338	"
CAH2051521.1,TAV2_LOCUS9290,GT1_Gtf-like,UDP-glucuronosyl/UDP-glucosyltransferase,GO:0008194,AT1G10400,"UDP-Glycosyltransferase	superfamily	protein	","837580	"
CAH2051522.1,TAV2_LOCUS11203,GT1_Gtf-like,UDP-glucuronosyl/UDP-glucosyltransferase,GO:0008194,AT1G10400,"UDP-Glycosyltransferase	superfamily	protein	","837580	"
CAH2076863.1,TAV2_LOCUS23868,RBR FAMILY  RING FINGER AND IBR DOMAIN-CONTAINING,E3 ubiquitin ligase RBR family,GO:0004842|GO:0016567,AT4G34370,"RING/U-box	superfamily	protein	","829587	"
CAH2051566.1,TAV2_LOCUS10502,RBR FAMILY  RING FINGER AND IBR DOMAIN-CONTAINING,E3 ubiquitin ligase RBR family,GO:0004842|GO:0016567,AT3G27720,"IBR	domain	containing	protein	","822394	"
CAH2051588.1,TAV2_LOCUS11674,Extensin-like region,Extensin domain,GO:0005199|GO:0009664,AT4G08380,"Proline-rich	extensin-like	family	protein	","826395	"
CAH2051581.1,TAV2_LOCUS11675,Extensin-like region,Extensin domain,GO:0005199|GO:0009664,AT4G08370,"Proline-rich	extensin-like	family	protein	","826393	"
CAH2051783.1,TAV2_LOCUS9981,UDP-glucoronosyl and UDP-glucosyl transferase,UDP-glucuronosyl/UDP-glucosyltransferase,GO:0008194,AT4G34131,"UDP-glucosyl	transferase	73B3	","829559	"
CAH2052145.1,TAV2_LOCUS8769,PS_II_CP47: photosystem II chlorophyll-binding protein CP47,Photosystem II CP47 reaction centre protein,GO:0009523|GO:0009772|GO:0015979|GO:0016020|GO:0016168|GO:0045156,ATCG00680,#N/A,#N/A
CAH2052096.1,TAV2_LOCUS10975,PS_II_CP47: photosystem II chlorophyll-binding protein CP47,Photosystem II CP47 reaction centre protein,GO:0009523|GO:0009772|GO:0015979|GO:0016020|GO:0016168|GO:0045156,ATCG00680,#N/A,#N/A
CAH2052128.1,TAV2_LOCUS9240,PS_II_CP47: photosystem II chlorophyll-binding protein CP47,Photosystem II CP47 reaction centre protein,GO:0009523|GO:0009772|GO:0015979|GO:0016020|GO:0016168|GO:0045156,ATCG00680,#N/A,#N/A
CAH2079422.1,TAV2_LOCUS24258,PS_II_CP47: photosystem II chlorophyll-binding protein CP47,Photosystem II CP47 reaction centre protein,GO:0009523|GO:0009772|GO:0015979|GO:0016020|GO:0016168|GO:0045156,ATCG00680,#N/A,#N/A
CAH2052080.1,TAV2_LOCUS10223,PS_II_CP47: photosystem II chlorophyll-binding protein CP47,Photosystem II CP47 reaction centre protein,GO:0009523|GO:0009772|GO:0015979|GO:0016020|GO:0016168|GO:0045156,ATCG00680,#N/A,#N/A
CAH2066772.1,TAV2_LOCUS18260,-,Rieske [2Fe-2S] iron-sulphur domain superfamily,GO:0051537,AT1G71500,"Rieske	(2Fe-2S)	domain-containing	protein	","843491	"
CAH2061303.1,TAV2_LOCUS12265,consensus disorder prediction,-,0,AT1G71500,"Rieske	(2Fe-2S)	domain-containing	protein	","843491	"
CAH2052399.1,TAV2_LOCUS9562,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT1G71500,"Rieske	(2Fe-2S)	domain-containing	protein	","843491	"
